专业,特色专业信息集合
药物化学,"{'id': '1227', 'name': '药物化学', 'content': '<p>\t\t专业代码：100706T\r\n\r\n</p><p>\t\t授予学位：医学学士\r\n\r\n</p><p>\t\t修学年限：四年\r\n\r\n</p><p>\t\t开设课程：\r\n\r\n</p><p>\t\t有机化学，生物化学，生理学，药理学，高等药物化学，药物合成设计，药物合成反应，近代有机合成，甾体、抗肿瘤、抗病毒前沿研究跟踪，药物设计进展，天然产物化学，有机光谱鉴定，有机结构测定的物理方法，现代生物技术与新药研究开发等。\r\n\r\n</p><p>\t\t相近专业：\r\n\r\n</p><p>\t\t药学   药物制剂   药事管理   药物分析   中药学   临床药学   化学生物学   化工与制药   生物制药   制药工程  \r\n\r\n</p><p>\t\t专业解读\r\n\r\n</p><p>\t\t开设院校\r\n\r\n</p><p>\t\t就业前景与方向\r\n\r\n</p><p>\t\t专业排名\r\n\r\n</p><p>\t\t主要实践教学环节\r\n\r\n</p><p>\t\t包括课程实习、毕业实习等等。\r\n\r\n</p><p>\t\t培养目标\r\n\r\n</p><p>\t\t本专业主要培养具有药学、管理学、经济学、法学等相关的知识和技能，能在药品部门及相关机构从事药物化学分析、药事与企业管理、策划以及教学、科研等方面的工作，探索药物化学事业科学发展规律的复合型高级人才\r\n\r\n</p><p>\t\t专业培养要求\r\n\r\n</p><p>\t\t通过本专业的学习，使学生能够熟悉化学药物的结构、理化性质、体内代谢及临床应用，为有效、合理地使用化学药物提供理论依据，为从事新药研究奠定理论基础。\r\n\r\n</p><p>\t\t毕业生具备的专业知识与能力\r\n\r\n</p><p>\t\t1.熟悉常用药物的结构，中英文通用名及化学名称；2.掌握典型药物的理化性质，特别是影响药效、毒性、质量控制及分析和剂型选择有关的理化性质；3.懂得新药设计和创制的基本原理和方法；4.掌握常用药物的作用机制、体内代谢、毒副反应（即临床应用），熟悉药物的结构特征与药效之间的关系，含各类重要药物的发现和发展过程、构效关系；5.熟悉化学药物的制备及结构修饰的原理和方法，懂得杂质与制备关系及如何控制杂质，保证药物质量的方法；6.熟悉各类药物发展及结构类型，了解其最新进展，能够对常用化学药物的合成原理和合成路线的设计及评价；7.了解新药研究的基本方法和近代新药发展方向。""</p>', 'code': '100706T', 'job': '', 'status': '1', 'is_what': '药物化学主要从分子水平上研究药物在体内的作用机理和作用方式，包括药物的化学结构和活性、物理化学性质间的关系、药物与受体的相互作用、药物在体内吸收、转运、分布的情况及代谢产物等，进行药物成分的化学分析、药物质量的控制、药物效力和毒性的检验等。\n关键词：药物  化学  结构  化验', 'learn_what': '《有机化学》、《生物化学》、《药理学》、《高等药物化学》、《药物合成设计》、《药物合成反应》、《近代有机合成》、《药物设计进展》、《天然产物化学》、《有机光谱鉴定》', 'do_what': '医药类企业：药物设计、药品研发、药物制剂开发、药品质检、药品销售；\n日用化工类企业：产品研发、质量检测。', 'level3': '107', 'level2': '12', 'level1': '1', 'rate': '51:49', 'limit_year': '四年', 'e_status': '2', 'degree': '理学学士', 'sel_adv': '化学/生物', 'continue_exp': '', 'direction': '药物化学、药理学、有机化学、物理化学、药学', 'rate2': '', 'skill': '', 'celebrity': '尤启冬、王喜军、陈刚等。', 'course': '有机化学，生物化学，生理学，药理学，高等药物化学，药物合成设计，药物合成反应，近代有机合成，甾体、抗肿瘤、抗病毒前沿研究跟踪，药物设计进展，天然产物化学，有机光谱鉴定，有机结构测定的物理方法，现代生物技术与新药研究开发等。', 'impress': [{'id': '1093', 'special_id': '1227', 'key_word': '药物', 'img_url': '/upload/special_images/1552708157_2094_thumb.jpg'}, {'id': '1094', 'special_id': '1227', 'key_word': '化学', 'img_url': '/upload/special_images/1552708157_5756_thumb.jpg'}, {'id': '1095', 'special_id': '1227', 'key_word': '结构', 'img_url': '/upload/special_images/1552708157_5126_thumb.jpg'}, {'id': '1096', 'special_id': '1227', 'key_word': '化验', 'img_url': '/upload/special_images/1552708157_4057_thumb.jpg'}], 'heat': {'id': '1227', 'special_id': '1227', 'view_total': '21161', 'view_month': '28'}, 'jobdetail': {'1': [{'id': '3018', 'special_id': '1227', 'name': '医药', 'detail_job': '', 'detail_pos': '', 'rate': '68.08', 'area': '', 'type': '1', 'sort': '6808'}, {'id': '3019', 'special_id': '1227', 'name': '教育培训', 'detail_job': '', 'detail_pos': '', 'rate': '7.15', 'area': '', 'type': '1', 'sort': '715'}, {'id': '3021', 'special_id': '1227', 'name': '石油化工', 'detail_job': '', 'detail_pos': '', 'rate': '4.36', 'area': '', 'type': '1', 'sort': '436'}, {'id': '3024', 'special_id': '1227', 'name': '快消', 'detail_job': '', 'detail_pos': '', 'rate': '2.45', 'area': '', 'type': '1', 'sort': '245'}, {'id': '3020', 'special_id': '1227', 'name': '医疗设备', 'detail_job': '', 'detail_pos': '', 'rate': '1.79', 'area': '', 'type': '1', 'sort': '179'}, {'id': '3026', 'special_id': '1227', 'name': '金融投资', 'detail_job': '', 'detail_pos': '', 'rate': '1.15', 'area': '', 'type': '1', 'sort': '115'}, {'id': '3023', 'special_id': '1227', 'name': '批发零售', 'detail_job': '', 'detail_pos': '', 'rate': '0.92', 'area': '', 'type': '1', 'sort': '92'}, {'id': '3025', 'special_id': '1227', 'name': '房地产', 'detail_job': '', 'detail_pos': '', 'rate': '0.88', 'area': '', 'type': '1', 'sort': '88'}, {'id': '3022', 'special_id': '1227', 'name': '医疗保健', 'detail_job': '', 'detail_pos': '', 'rate': '0.38', 'area': '', 'type': '1', 'sort': '38'}, {'id': '3027', 'special_id': '1227', 'name': '其他行业', 'detail_job': '', 'detail_pos': '', 'rate': '12.84', 'area': '', 'type': '1', 'sort': '0'}], '3': [{'id': '9620', 'special_id': '1227', 'name': '批发零售，加工制造，石油化工，认证检验，医药', 'detail_job': '生物工程/生物制药，合成研究员，药品研发，药品研发/注册，医药技术研发人员，药品生产/质量管理，医药技术研发管理人员，实习生，医药化学分析，化学分析', 'detail_pos': '医学/医疗器械研发', 'rate': '25.50', 'area': '', 'type': '3', 'sort': '2550'}, {'id': '9621', 'special_id': '1227', 'name': '保险，房地产，服装，广告，互联网', 'detail_job': '区域销售经理/主管，招商助理，团购业务员，销售代表，东北地区区域经理，部门经理，招商，渠道/分销专员，客户经理/主管，高级技术专员', 'detail_pos': '销售业务', 'rate': '14.30', 'area': '', 'type': '3', 'sort': '1430'}, {'id': '9622', 'special_id': '1227', 'name': '批发零售，医药，其他，快消，医疗保健', 'detail_job': '药品市场推广经理/主管，省区副经理（主持工作 ），注册室，医药信息沟通专员，药品市场推广经理，OTC代表，医药招商区域经理，医药学术推广，医药销售经理/主管，销售代表实习生', 'detail_pos': '医药注册/推广', 'rate': '9.70', 'area': '', 'type': '3', 'sort': '970'}, {'id': '9623', 'special_id': '1227', 'name': '加工制造，石油化工，医药，其他，教育培训', 'detail_job': '化学实验室技术员/研究员，实验技术员/研究员，实验员，有机合成研究员，研发工程师，合成研究员，化学操作，化工研发工程师，化学分析，产品研发/注册', 'detail_pos': '化工工程', 'rate': '6.20', 'area': '', 'type': '3', 'sort': '620'}, {'id': '9624', 'special_id': '1227', 'name': '电子技术，石油化工，服装，互联网，医疗保健', 'detail_job': 'QA，质量管理，质量检验员/测试员，QC，质检部QA，QC技术员，质量管理/测试工程师（QA/QC工程师），质量管理/测试主管（QA/QC主管），质量管理/测试经理（QA/QC经理），质检员', 'detail_pos': '质量管理', 'rate': '2.80', 'area': '', 'type': '3', 'sort': '280'}, {'id': '9625', 'special_id': '1227', 'name': '餐饮娱乐，电子技术，石油化工，电信设备，房地产', 'detail_job': '秘书长助理，行政经理/办公室主任，助理/秘书，办公室文员，行政专员/助理，总裁助理/总经理助理，行政经理/主管/办公室主任，总裁助理，助理/秘书/文员，文员', 'detail_pos': '其他', 'rate': '41.50', 'area': '', 'type': '3', 'sort': '0'}], '2': [{'id': '15665', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '13.80', 'area': '上海市', 'type': '2', 'sort': '1380'}, {'id': '15659', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '11.70', 'area': '北京市', 'type': '2', 'sort': '1170'}, {'id': '15661', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '7.30', 'area': '广州市', 'type': '2', 'sort': '730'}, {'id': '15667', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '4.40', 'area': '西南地区', 'type': '2', 'sort': '440'}, {'id': '15664', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '3.90', 'area': '华中地区', 'type': '2', 'sort': '390'}, {'id': '15666', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '3.70', 'area': '深圳市', 'type': '2', 'sort': '370'}, {'id': '15662', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '2.30', 'area': '华北地区', 'type': '2', 'sort': '230'}, {'id': '15663', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '1.60', 'area': '华东地区', 'type': '2', 'sort': '160'}, {'id': '15660', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '1.30', 'area': '东北地区', 'type': '2', 'sort': '130'}, {'id': '15668', 'special_id': '1227', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '50.00', 'area': '其他地区', 'type': '2', 'sort': '0'}]}, 'jobrate': [{'id': '2448', 'special_id': '1227', 'year': '2016', 'rate': ' 95%-100%'}, {'id': '2447', 'special_id': '1227', 'year': '2015', 'rate': '90%-95%'}, {'id': '2449', 'special_id': '1227', 'year': '2017', 'rate': '95%-100%'}], 'type_detail': '药学类', 'type': '医学', 'level1_name': '本科', 'video': []}"
海洋药学,"{'id': '1228', 'name': '海洋药学', 'content': '<p>\t\t专业代码：100707T\r\n\r\n</p><p>\t\t授予学位：医学学士\r\n\r\n</p><p>\t\t修学年限：四年\r\n\r\n</p><p>\t\t开设课程：\r\n\r\n</p><p>\t\t主干学科：中医学基础、中药学、方剂学、海洋生态学、海洋生物学、生物化学、中药化学、分析化学、海洋药物化学、药剂学、药理学。主要课程：大学英语、高等数学、线性代数、数理统计、物理学、无机化学、分析化学、有机化学、物理化学、海洋生物学、海洋药物化学、海洋药用生物资源学、海洋药物生物技术、生物化学、微生物学、遗传学、药理学、人体解剖生理学、生物制药工艺学等。\r\n\r\n</p><p>\t\t相近专业：\r\n\r\n</p><p>\t\t药学   生物药学   生物药物科学   海洋学   海洋生物学  \r\n\r\n</p><p>\t\t主要实践教学环节 \r\n\r\n</p><p>\t\t包括课程实习、毕业实习等，一般安排25周\r\n\r\n</p><p>\t\t培养目标 \r\n\r\n</p><p>\t\t本专业培养掌握药学各主要分支学科的基础理论和基础知识，受到药学实验方法和技能的基本训练，具有深厚药学基础知识、基本理论和基本技能，能够从事药物研究、开发、生产、管理，监督，具有创新能力的高级药学专门人才。\r\n\r\n</p><p>\t\t专业培养要求 \r\n\r\n</p><p>\t\t本专业系统掌握药学基本理论和专业技能以及现代生物技术原理和生物技术药物研制基本专业技能。毕业后能从事海洋药物研制、生产、质量控制和工艺设计以及从事生物工程的研究，同时还可以从事海洋药物学专业及相关专业的教学工作。\r\n\r\n</p><p>\t\t毕业生具备的专业知识与能力 \r\n\r\n</p><p>\t\t1.熟悉海洋药学的基本理论和基础知识；2.掌握海洋药学的有关理化性质；3.了解海洋药学的基本原理和方法；4.掌握海洋药学的发展前景和发展动态；5.熟悉海洋药学的制备的原理和方法；6.掌握一门外语，具有沟通交流的基本能力。</p>', 'code': '100707T', 'job': '', 'status': '1', 'is_what': '海洋药学主要研究海洋药物（以海洋生物和海洋微生物为药源制成的药物）药源的分布、储量、药性、临床应用以及海洋生物活性物质等方面的基本知识和技能，进行海洋药物的研制、生产、质量控制和工艺设计等。常见的海洋药物药源有牡蛎、海胆、海参、海马、海藻、龟板等。\n关键词：海洋  生物  药物  牡蛎', 'learn_what': '《有机化学》、《分析化学》、《海洋生物学》、《海洋药用生物资源学》、《海洋药用生物技术》、《海洋制药学》、《近代有机合成》、《海洋药物化学》、《药剂学》、《药理学》', 'do_what': '医药类企业：海洋药物生产、技术管理、药物检验、质量控制、药物营销、药物管理。', 'level3': '107', 'level2': '12', 'level1': '1', 'rate': '27:73', 'limit_year': '四年', 'e_status': '2', 'degree': '理学学士', 'sel_adv': '未知', 'continue_exp': '', 'direction': '微生物与生化药学、药学、药理学', 'rate2': '', 'skill': '', 'celebrity': '关丽萍、陆园园、邢莹莹等。', 'course': '无机化学、有机化学、分析化学、物理化学、海洋生物学、海洋药用生物资源学、海洋药用生物技术、海洋制药学、海洋药物化学、药剂学、药理学等。', 'impress': [{'id': '1097', 'special_id': '1228', 'key_word': '海洋', 'img_url': '/upload/special_images/1552708157_5329_thumb.jpg'}, {'id': '1098', 'special_id': '1228', 'key_word': '生物', 'img_url': '/upload/special_images/1552708157_5760_thumb.jpg'}, {'id': '1099', 'special_id': '1228', 'key_word': '药物', 'img_url': '/upload/special_images/1552708157_2094_thumb.jpg'}, {'id': '1100', 'special_id': '1228', 'key_word': '牡蛎', 'img_url': '/upload/special_images/1552708157_2095_thumb.jpg'}], 'heat': {'id': '1228', 'special_id': '1228', 'view_total': '3933', 'view_month': '18'}, 'jobdetail': {'1': [{'id': '3008', 'special_id': '1228', 'name': '医药', 'detail_job': '', 'detail_pos': '', 'rate': '73.34', 'area': '', 'type': '1', 'sort': '7334'}, {'id': '3009', 'special_id': '1228', 'name': '教育培训', 'detail_job': '', 'detail_pos': '', 'rate': '8.80', 'area': '', 'type': '1', 'sort': '880'}, {'id': '3011', 'special_id': '1228', 'name': '医疗保健', 'detail_job': '', 'detail_pos': '', 'rate': '6.08', 'area': '', 'type': '1', 'sort': '608'}, {'id': '3013', 'special_id': '1228', 'name': '医疗设备', 'detail_job': '', 'detail_pos': '', 'rate': '3.16', 'area': '', 'type': '1', 'sort': '316'}, {'id': '3015', 'special_id': '1228', 'name': '石油化工', 'detail_job': '', 'detail_pos': '', 'rate': '2.62', 'area': '', 'type': '1', 'sort': '262'}, {'id': '3010', 'special_id': '1228', 'name': '快消', 'detail_job': '', 'detail_pos': '', 'rate': '2.48', 'area': '', 'type': '1', 'sort': '248'}, {'id': '3016', 'special_id': '1228', 'name': '房地产', 'detail_job': '', 'detail_pos': '', 'rate': '1.78', 'area': '', 'type': '1', 'sort': '178'}, {'id': '3012', 'special_id': '1228', 'name': '互联网', 'detail_job': '', 'detail_pos': '', 'rate': '1.31', 'area': '', 'type': '1', 'sort': '131'}, {'id': '3014', 'special_id': '1228', 'name': '认证检验', 'detail_job': '', 'detail_pos': '', 'rate': '0.43', 'area': '', 'type': '1', 'sort': '43'}, {'id': '3017', 'special_id': '1228', 'name': '其他行业', 'detail_job': '', 'detail_pos': '', 'rate': '0.00', 'area': '', 'type': '1', 'sort': '0'}], '2': [{'id': '15655', 'special_id': '1228', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '33.70', 'area': '华东地区', 'type': '2', 'sort': '3370'}, {'id': '15656', 'special_id': '1228', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '15.90', 'area': '上海市', 'type': '2', 'sort': '1590'}, {'id': '15653', 'special_id': '1228', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '8.90', 'area': '北京市', 'type': '2', 'sort': '890'}, {'id': '15654', 'special_id': '1228', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '5.40', 'area': '华北地区', 'type': '2', 'sort': '540'}, {'id': '15657', 'special_id': '1228', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '4.10', 'area': '西北地区', 'type': '2', 'sort': '410'}, {'id': '15658', 'special_id': '1228', 'name': '', 'detail_job': '', 'detail_pos': '', 'rate': '32.00', 'area': '其他地区', 'type': '2', 'sort': '0'}], '3': [{'id': '9614', 'special_id': '1228', 'name': '石油化工，医药，教育培训', 'detail_job': '实验员，药物合成研究员，理化及高效液相等质检工作，分析工程师，产品研发/注册 实验员，医药技术研发人员，化学分析测试员（短期项目合同工），医药化学分析，化学分析测试员，生产工艺员', 'detail_pos': '医学/医疗器械研发', 'rate': '25.20', 'area': '', 'type': '3', 'sort': '2520'}, {'id': '9615', 'special_id': '1228', 'name': '医药，其他，广告，医疗保健，医疗设备', 'detail_job': '医药学术推广代表，医药代表，医药研发/药品注册，医学信息沟通专员，医药销售代表，药品市场推广主管/专员，医疗器械销售，药品注册，高级医药代表，学术推广经理', 'detail_pos': '医药注册/推广', 'rate': '17.00', 'area': '', 'type': '3', 'sort': '1700'}, {'id': '9616', 'special_id': '1228', 'name': '批发零售，医药，广告，快消，医疗保健', 'detail_job': '销售主管，销售代表，客户代表，招商代表，渠道/分销经理/主管，业务员，客户经理/主管，销售经理', 'detail_pos': '销售业务', 'rate': '9.00', 'area': '', 'type': '3', 'sort': '900'}, {'id': '9617', 'special_id': '1228', 'name': '认证检验，医药，物流运输', 'detail_job': 'QA，理化检验员，质量检验员/测试员，QC，质量员，质检工程师', 'detail_pos': '质量管理', 'rate': '7.00', 'area': '', 'type': '3', 'sort': '700'}, {'id': '9618', 'special_id': '1228', 'name': '医药', 'detail_job': '科研人员', 'detail_pos': '科学研究', 'rate': '5.00', 'area': '', 'type': '3', 'sort': '500'}, {'id': '9619', 'special_id': '1228', 'name': '医药，医疗设备', 'detail_job': '专业顾问，产品/品牌经理，市场助理，市场/营销/拓展主管，产品/品牌专员，市场推广专员', 'detail_pos': '其他', 'rate': '36.80', 'area': '', 'type': '3', 'sort': '0'}]}, 'jobrate': [{'id': '2450', 'special_id': '1228', 'year': '2015', 'rate': '75%-80%'}, {'id': '2451', 'special_id': '1228', 'year': '2016', 'rate': '95%-100%'}, {'id': '2452', 'special_id': '1228', 'year': '2017', 'rate': '95%-100%'}], 'type_detail': '药学类', 'type': '医学', 'level1_name': '本科', 'video': []}"
化妆品科学与技术,"{'id': '8422', 'name': '化妆品科学与技术', 'content': '<p>暂无数据</p>', 'code': '100708T', 'job': None, 'status': '1', 'is_what': '&quot;培养面向化妆品行业，具备化学基本知识和基本理论，掌握化妆品、医药、农药、香精香料、颜料染料、电子化学品、化工助剂等精细化学品的专业知识，具有较强创新意识、创新能力和实践能力人才。例如：从事化妆品配方与工艺、化妆品分析检测、化妆品安全与功效评价，及精细化工产品研究与开发、生产技术管理、产品质量控制、技术咨询和产品营销等方面工作的应用型技术\r\n关键词 化妆品 化学 应用&quot;\r\n', 'learn_what': '《化妆品概论》《化妆品管理与法规》《美容皮肤科学》《化妆品工艺学》《表面活性剂》等\r\n', 'do_what': '可在国家机关、企事业单位从事化妆品等精细化工产品管理，在教育机构从事教育教学或科学研究\r\n', 'level3': '107', 'level2': '12', 'level1': '1', 'rate': ':', 'limit_year': '四年', 'e_status': '2', 'degree': '理学学士', 'sel_adv': '', 'continue_exp': '', 'direction': '', 'rate2': '', 'skill': '', 'celebrity': '', 'course': '', 'impress': [{'id': '5314', 'special_id': '8422', 'key_word': '化妆品', 'img_url': '/upload/special_images/1591601577_3142_thumb.png'}, {'id': '5315', 'special_id': '8422', 'key_word': '化学', 'img_url': '/upload/special_images/1591601578_1557_thumb.png'}, {'id': '5316', 'special_id': '8422', 'key_word': '应用', 'img_url': '/upload/special_images/1591601579_5865_thumb.png'}], 'heat': {'id': '14727', 'special_id': '8422', 'view_total': '17', 'view_month': '17'}, 'jobdetail': {}, 'jobrate': [], 'type_detail': '药学类', 'type': '医学', 'level1_name': '本科', 'video': []}"
