school,title,url
北京大学,北京大学2020年招生宣传片《你的大学：绽放》重磅发布！,https://www.bilibili.com/video/BV1zK4y1s7a5?from=search
中国人民大学,中国人民大学宣传片——人大时间,https://www.bilibili.com/video/BV1Yx41187f2?from=search
清华大学,2021清华招生宣传片《破壁少年》|三年面壁，一战成名,https://www.bilibili.com/video/BV1Uq4y1j7kE?from=search
