学科类别,类别,学科代码及名称,学校名称
人文社科类,二级学科,020209数量经济学,吉林大学
人文社科类,二级学科,020209数量经济学,华侨大学
人文社科类,二级学科,020210国防经济,国防大学
人文社科类,二级学科,020210国防经济,军事经济学院
人文社科类,二级学科,020204金融学,上海财经大学
人文社科类,二级学科,020205产业经济学,江西财经大学
人文社科类,二级学科,020209数量经济学,东北财经大学
人文社科类,一级学科,0301法学,北京大学
人文社科类,一级学科,0301法学,中国人民大学
人文社科类,一级学科,0301法学,中国政法大学
人文社科类,二级学科,030101法学理论,吉林大学
人文社科类,二级学科,030102法律史,华东政法大学
人文社科类,二级学科,030103宪法学与行政法学,浙江大学
人文社科类,二级学科,030104刑法学,吉林大学
人文社科类,二级学科,030105民商法学,中南财经政法大学
人文社科类,二级学科,030106诉讼法学,西南政法大学
人文社科类,二级学科,030107经济法学,西南政法大学
人文社科类,二级学科,030108环境与资源保护法学,武汉大学
人文社科类,二级学科,030109国际法学,对外经济贸易大学
人文社科类,二级学科,030109国际法学,厦门大学
人文社科类,二级学科,030109国际法学,武汉大学
人文社科类,二级学科,030101法学理论,南京师范大学
人文社科类,二级学科,030103宪法学与行政法学,武汉大学
人文社科类,二级学科,030107经济法学,南京大学
人文社科类,一级学科,0302政治学,北京大学
人文社科类,二级学科,030201政治学理论,南开大学
人文社科类,二级学科,030201政治学理论,天津师范大学
人文社科类,二级学科,030201政治学理论,吉林大学
人文社科类,二级学科,030201政治学理论,复旦大学
人文社科类,二级学科,030202中外政治制度,华中师范大学
人文社科类,二级学科,030203科学社会主义与国际共产主义运动,山东大学
人文社科类,二级学科,030203科学社会主义与国际共产主义运动,华中师范大学
人文社科类,二级学科,030203科学社会主义与国际共产主义运动,中共中央党校
人文社科类,二级学科,030204中共党史,中国人民大学
人文社科类,二级学科,030204中共党史,中共中央党校
人文社科类,二级学科,030206国际政治,中国人民大学
人文社科类,二级学科,030207国际关系,复旦大学
人文社科类,一级学科,0303社会学,北京大学
人文社科类,一级学科,0303社会学,中国人民大学
人文社科类,二级学科,0303社会学,上海大学
人文社科类,二级学科,0303社会学,南京大学
人文社科类,二级学科,030303人类学,中山大学
人文社科类,二级学科,030304民俗学,北京师范大学
人文社科类,二级学科,0303社会学,中山大学
人文社科类,一级学科,,
人文社科类,二级学科,0304民族学,中央民族大学
人文社科类,二级学科,0304民族学,云南大学
人文社科类,二级学科,0304民族学,兰州大学
人文社科类,二级学科,030403中国少数民族经济,中央民族大学
人文社科类,一级学科,0401教育学,北京师范大学
人文社科类,一级学科,0401教育学,华东师范大学
人文社科类,二级学科,040101教育学原理,东北师范大学
人文社科类,二级学科,040101教育学原理,南京师范大学
人文社科类,二级学科,040101教育学原理,华中师范大学
人文社科类,二级学科,040102课程与教学论,西南大学
人文社科类,二级学科,040103教育史,浙江大学
人文社科类,二级学科,040105学前教育学,南京师范大学
人文社科类,二级学科,040106高等教育学,厦门大学
人文社科类,二级学科,040106高等教育学,华中科技大学
人文社科类,二级学科,040110教育技术学,华南师范大学
人文社科类,二级学科,040101教育学原理,山东师范大学
人文社科类,二级学科,040102课程与教学论,南京师范大学
人文社科类,二级学科,040102课程与教学论,西北师范大学
人文社科类,一级学科,0402心理学,北京师范大学
人文社科类,二级学科,040201基础心理学,北京大学
人文社科类,二级学科,040201基础心理学,华东师范大学
人文社科类,二级学科,040201基础心理学,西南大学
人文社科类,二级学科,040202发展与教育心理学,天津师范大学
人文社科类,二级学科,040202发展与教育心理学,华南师范大学
人文社科类,二级学科,040203应用心理学,浙江大学
人文社科类,,,
人文社科类,一级学科,0403体育学,北京体育大学
人文社科类,二级学科,040301体育人文社会学,华南师范大学
人文社科类,二级学科,040302运动人体科学,华东师范大学
人文社科类,二级学科,040304民族传统体育学,上海体育学院
人文社科类,一级学科,0501中国语言文学,北京大学
人文社科类,一级学科,0501中国语言文学,北京师范大学
人文社科类,一级学科,0501中国语言文学,复旦大学
人文社科类,一级学科,0501中国语言文学,南京大学
人文社科类,一级学科,0501中国语言文学,四川大学
人文社科类,二级学科,050102语言学及应用语言学,北京语言大学
人文社科类,二级学科,050103汉语言文字学,安徽大学
人文社科类,二级学科,050103汉语言文字学,华中师范大学
人文社科类,二级学科,050104中国古典文献学,浙江大学
人文社科类,二级学科,050105中国古代文学,首都师范大学
人文社科类,二级学科,050105中国古代文学,南开大学
人文社科类,二级学科,050105中国古代文学,华东师范大学
人文社科类,二级学科,050105中国古代文学,中山大学
人文社科类,二级学科,050105中国古代文学,陕西师范大学
人文社科类,二级学科,050106中国现当代文学,南京师范大学
人文社科类,二级学科,050106中国现当代文学,福建师范大学
人文社科类,二级学科,050106中国现当代文学,山东师范大学
人文社科类,二级学科,050106中国现当代文学,武汉大学
人文社科类,二级学科,050107中国少数民族语言文学,中央民族大学
人文社科类,二级学科,050107中国少数民族语言文学,内蒙古大学
人文社科类,二级学科,050107中国少数民族语言文学,新疆大学
人文社科类,二级学科,050108比较文学与世界文学,上海师范大学
人文社科类,二级学科,050101文艺学,华中师范大学
人文社科类,二级学科,050102语言学及应用语言学,南开大学
人文社科类,二级学科,050104中国古典文献学,山东大学
人文社科类,二级学科,050105中国古代文学,武汉大学
人文社科类,二级学科,050105中国古代文学,西北师范大学
人文社科类,二级学科,050201英语语言文学,北京大学
人文社科类,二级学科,050201英语语言文学,北京外国语大学
人文社科类,二级学科,050201英语语言文学,上海外国语大学
人文社科类,二级学科,050201英语语言文学,南京大学
人文社科类,二级学科,050201英语语言文学,湖南师范大学
人文社科类,二级学科,050201英语语言文学,中山大学
人文社科类,二级学科,050201英语语言文学,解放军外国语学院
人文社科类,二级学科,050202俄语语言文学,黑龙江大学
人文社科类,二级学科,050202俄语语言文学,上海外国语大学
人文社科类,二级学科,050202俄语语言文学,解放军外国语学院
人文社科类,二级学科,050204德语语言文学,北京外国语大学
人文社科类,二级学科,050206印度语言文学,北京大学
人文社科类,二级学科,050210亚非语言文学(朝鲜语言文学),延边大学
人文社科类,二级学科,050211外国语言学及应用语言学,北京外国语大学
人文社科类,二级学科,050211外国语言学及应用语言学,广东外语外贸大学
人文社科类,二级学科,050203法语语言文学,武汉大学
人文社科类,二级学科,050205日语语言文学,北京外国语大学
人文社科类,二级学科,050208阿拉伯语语言文学,上海外国语大学
人文社科类,二级学科,050210亚非语言文学,北京大学
人文社科类,一级学科,0503新闻传播学,中国人民大学
人文社科类,一级学科,0503新闻传播学,复旦大学
人文社科类,二级学科,050301新闻学,中国传媒大学
人文社科类,二级学科,050302传播学,中国传媒大学
人文社科类,二级学科,050401艺术学,东南大学
人文社科类,二级学科,050402音乐学,中央音乐学院
人文社科类,二级学科,050402音乐学,上海音乐学院
人文社科类,二级学科,050403美术学,中国美术学院
人文社科类,二级学科,050403美术学,中央美术学院
人文社科类,二级学科,050404设计艺术学,清华大学，北京协和医学院—清华大学医学部
人文社科类,二级学科,050405戏剧戏曲学,中央戏剧学院
人文社科类,二级学科,050405戏剧戏曲学,上海戏剧学院
人文社科类,二级学科,050407广播电视艺术学,中国传媒大学
人文社科类,二级学科,050403美术学,首都师范大学
人文社科类,二级学科,050403美术学,南京艺术学院
人文社科类,二级学科,050406电影学,北京师范大学
人文社科类,一级学科,0601历史学,北京大学
人文社科类,一级学科,0601历史学,南开大学
人文社科类,二级学科,060101史学理论及史学史,北京师范大学
人文社科类,二级学科,060102考古学及博物馆学,吉林大学
人文社科类,二级学科,060103历史地理学,复旦大学
人文社科类,二级学科,060103历史地理学,陕西师范大学
人文社科类,二级学科,060104历史文献学,四川大学
人文社科类,二级学科,060105专门史,清华大学，北京协和医学院—清华大学医学部
人文社科类,二级学科,060105专门史,厦门大学
人文社科类,二级学科,060105专门史,四川大学
人文社科类,二级学科,060105专门史,云南大学
人文社科类,二级学科,060105专门史,西北大学
人文社科类,二级学科,060106中国古代史,中国人民大学
人文社科类,二级学科,060106中国古代史,北京师范大学
人文社科类,二级学科,060106中国古代史,山东大学
人文社科类,二级学科,060106中国古代史,武汉大学
人文社科类,二级学科,060106中国古代史,中山大学
人文社科类,二级学科,060106中国古代史,陕西师范大学
人文社科类,二级学科,060107中国近现代史,中国人民大学
人文社科类,二级学科,060107中国近现代史,复旦大学
人文社科类,二级学科,060107中国近现代史,华中师范大学
人文社科类,二级学科,060107中国近现代史,湖南师范大学
人文社科类,二级学科,060107中国近现代史,中山大学
人文社科类,二级学科,060108世界史,首都师范大学
人文社科类,二级学科,060108世界史,东北师范大学
人文社科类,二级学科,060108世界史,南京大学
人文社科类,二级学科,060108世界史,武汉大学
人文社科类,二级学科,060104历史文献学,兰州大学
人文社科类,二级学科,060106中国古代史,郑州大学
人文社科类,二级学科,060107中国近现代史,南京大学
人文社科类,二级学科,060108世界史,华东师范大学
