rank,school,year
"1,667",重庆理工大学,2022
"1,676",中南民族大学,2022
"1,681",河南农业大学,2022
"1,681",天津师范大学,2022
"1,688",河北大学,2022
"1,691",南华大学,2022
"1,692",中北大学,2022
"1,694",河北农业大学,2022
"1,694",西北师范大学,2022
"1,694",太原科技大学,2022
"1,698",广西医科大学,2022
"1,702",西南医科大学,2022
"1,706",桂林理工大学,2022
"1,711",福建医科大学,2022
"1,711",西华大学,2022
"1,716",兰州交通大学,2022
"1,718",上海工程技术大学,2022
"1,721",广东医科大学,2022
"1,723",信阳师范学院,2022
"1,725",江西理工大学,2022
"1,725",徐州医学院,2022
"1,728",贵州医科大学,2022
"1,730",集美大学,2022
"1,733",昆明医科大学,2022
"1,733",山西医科大学,2022
"1,737",鲁东大学,2022
"1,737",新乡医学院,2022
"1,742",长春理工大学,2022
"1,742",浙江海洋大学,2022
Unranked,中国人民解放军空军工程大学,2022
Unranked,安阳师范学院,2022
Unranked,北京信息科技大学,2022
Unranked,北京建筑大学,2022
Unranked,长春工业大学,2022
Unranked,西华师范大学,2022
Unranked,重庆交通大学,2022
Unranked,重庆工商大学,2022
Unranked,重庆文理学院,2022
Unranked,中国民航大学,2022
Unranked,大连工业大学,2022
Unranked,华东交通大学,2022
Unranked,东华理工大学,2022
Unranked,哈尔滨师范大学,2022
Unranked,河北医科大学,2022
Unranked,淮北师范大学,2022
Unranked,淮阴工学院,2022
Unranked,湖南工业大学,2022
Unranked,嘉兴学院,2022
Unranked,吉林师范大学,2022
Unranked,景德镇陶瓷大学,2022
Unranked,辽宁工业大学,2022
Unranked,洛阳师范学院,2022
Unranked,南京工程学院,2022
Unranked,南阳师范学院,2022
Unranked,宁夏医科大学,2022
Unranked,宁夏大学,2022
Unranked,北方工业大学,2022
Unranked,华北水利水电学院,2022
Unranked,东北电力大学,2022
Unranked,东北石油大学,2022
Unranked,解放军理工大学,2022
Unranked,山东建筑大学,2022
Unranked,上海应用技术学院,2022
Unranked,山西农业大学,2022
Unranked,沉阳航空航天大学,2022
Unranked,沈阳建筑大学,2022
Unranked,沈阳工业大学,2022
Unranked,石河子大学,2022
Unranked,四川轻化工大学,2022
Unranked,西南民族大学,2022
Unranked,台州学院,2022
Unranked,天津城建大学,2022
Unranked,辽宁科技大学,2022
Unranked,武汉东湖大学,2022
Unranked,武汉海军工程大学,2022
Unranked,厦门理工大学,2022
Unranked,西安医科大学,2022
Unranked,西安工业大学,2022
Unranked,长江师范大学,2022
Unranked,新疆医科大学,2022
Unranked,盐城工学院,2022
Unranked,长江师范大学,2022
Unranked,云南农业大学,2022
Unranked,浙江中医药大学,2022
Unranked,浙江财经大学,2022
