rank,school,year
954,University of Franche-Comté,2021
955,Autonomous University of San Luis Potosí,2021
956,Yanshan University,2021
957,Aston University,2021
958,University of Naples Parthenope,2021
959,Pomona College,2021
960,Qingdao University of Science and Technology,2021
961,Shandong Agricultural University,2021
962,King Juan Carlos University,2021
963,University of Limerick,2021
964,Ehime University,2021
965,University of Memphis,2021
966,Xiangtan University,2021
967,Tokai University,2021
968,Federal University of São Carlos,2021
969,University of Upper Alsace,2021
970,Victoria University,2021
971,University of Sassari,2021
972,University of Texas Rio Grande Valley,2021
973,Ferdowsi University of Mashhad,2021
974,Shandong Normal University,2021
975,Taiyuan University of Technology,2021
976,Wroclaw Medical University,2021
977,Gifu University,2021
978,Florida Institute of Technology,2021
979,Fluminense Federal University,2021
980,Hunter College,2021
981,Qatar University,2021
982,Henan Normal University,2021
983,ITMO University,2021
984,Mansoura University,2021
985,Wrocław University of Science and Technology,2021
986,Miguel Hernández University of Elche,2021
987,Federal University of Juiz de Fora,2021
988,Shahid Beheshti University of Medical Sciences,2021
989,Cheung Kong Graduate School of Business,2021
990,Fujian Agriculture and Forestry University,2021
991,Osaka Prefecture University,2021
992,Shanghai Normal University,2021
993,University of A Coruña,2021
994,University of Tabriz,2021
995,Hunan Normal University,2021
996,Hallym University,2021
997,Marmara University,2021
998,Hangzhou Dianzi University,2021
999,Alexandria University,2021
1000,American University,2021
1001,University of Extremadura,2021
1002,Federal University of Rio Grande do Norte,2021
1003,Capital Normal University,2021
1004,Creighton University,2021
1005,Louisiana Tech University,2021
1006,Yamagata University,2021
1007,Tokyo Women's Medical University,2021
1008,University of Toyama,2021
1009,University of Mannheim,2021
1010,University of Bucharest,2021
1011,VetAgro Sup,2021
1012,Academy of Scientific & Innovative Research,2021
1013,Kunming University of Science and Technology,2021
1014,Medical University of Lodz,2021
1015,Sogang University,2021
1016,Nicolaus Copernicus University,2021
1017,Nantong University,2021
1018,Yunnan University,2021
1019,Federal University of Bahia,2021
1020,United States Naval Academy,2021
1021,University of Shanghai for Science and Technology,2021
1022,University of Texas at El Paso,2021
1023,National Taiwan Normal University,2021
1024,SUNY Upstate Medical University,2021
1025,Royal College of Surgeons in Ireland,2021
1026,Federal University of Santa Maria,2021
1027,Babson College,2021
1028,Mohamed First University Oujda,2021
1029,Chuo University,2021
1030,Rouen Normandy University,2021
1031,Brandenburg University of Technology,2021
1032,Jadavpur University,2021
1033,Manhattan College,2021
1034,Cadi Ayyad University,2021
1035,Guangzhou University,2021
1036,"University of New England, Australia",2021
1037,Edith Cowan University,2021
1038,École nationale supérieure de chimie de Montpellier,2021
1039,Sichuan Agricultural University,2021
1040,Gaziantep University,2021
1041,Qufu Normal University,2021
1042,Nanjing Forestry University,2021
1043,Villanova University,2021
1044,Dublin City University,2021
1045,Yıldız Technical University,2021
1046,National Taipei University of Technology,2021
1047,Paderborn University,2021
1048,Kagoshima University,2021
1049,Gunma University,2021
1050,University of Urbino,2021
1051,IMT Atlantique,2021
1052,University of South Bohemia,2021
1053,University of Augsburg,2021
1054,University of New Brunswick,2021
1055,Rochester Institute of Technology,2021
1056,Smith College,2021
1057,Auckland University of Technology,2021
1058,Fordham University,2021
1059,University of Maribor,2021
1060,University of Cádiz,2021
1061,Federal University of Goiás,2021
1062,University of Puerto Rico at Mayagüez,2021
1063,University of Antioquia,2021
1064,Nara Institute of Science and Technology,2021
1065,Florida Atlantic University,2021
1066,Australian Catholic University,2021
1067,Kazan Federal University,2021
1068,Worcester Polytechnic Institute,2021
1069,Dankook University,2021
1070,University of Salzburg,2021
1071,Singapore University of Technology and Design,2021
1072,Jichi Medical University,2021
1073,Kharkov Institute of Physics and Technology,2021
1074,University of Jaén,2021
1075,Hassan II University of Casablanca,2021
1076,Fujian Normal University,2021
1077,University of North Carolina at Greensboro,2021
1078,Institute of Solid State Physics of the Russian Academy of Sciences,2021
1079,Mersin University,2021
1080,Medical University of Silesia,2021
1081,Paracelsus Medical University,2021
1082,Aga Khan University,2021
1083,Zhejiang Sci-Tech University,2021
1084,University of Novi Sad,2021
1085,Fujian Medical University,2021
1086,Nagoya City University,2021
1087,Medical University of Gdańsk,2021
1088,Charles Darwin University,2021
1089,Åbo Akademi University,2021
1090,University of Pécs,2021
1091,Charles Sturt University,2021
1092,Indian Association for the Cultivation of Science,2021
1093,Pablo de Olavide University,2021
1094,University of Lleida,2021
1095,Toho University,2021
1096,College of the Holy Cross,2021
1097,University of Calcutta,2021
1098,Liverpool School of Tropical Medicine,2021
1099,University of Hertfordshire,2021
1100,Copenhagen Business School,2021
1101,Loma Linda University,2021
1102,Visva-Bharati University,2021
1103,University of Thessaly,2021
1104,"University of Veterinary Medicine, Vienna",2021
1105,Shahid Beheshti University,2021
1106,Teikyo University,2021
1107,University of Neuchâtel,2021
1108,Maria Sklodowska-Curie National Research Institute of Oncology,2021
1109,University of Kassel,2021
1110,University of Évry Val d'Essonne,2021
1111,Manchester Metropolitan University,2021
1112,Institute of Science and Technology Austria,2021
1113,University of Waikato,2021
1114,University of Canberra,2021
1115,University of Massachusetts Lowell,2021
1116,"University of Chemistry and Technology, Prague",2021
1117,"California State University, Fresno",2021
1118,Chemnitz University of Technology,2021
1119,Soonchunhyang University,2021
1120,Hubei University,2021
1121,National Institute of Public Health (INSP),2021
1122,South Dakota State University,2021
1123,Ramon Llull University,2021
1124,"Indian Institute of Science Education and Research, Pune",2021
1125,Kyoto Prefectural University of Medicine,2021
1126,Tokat Gaziosmanpaşa University,2021
1127,Tiangong University,2021
1128,Postgraduate Institute of Medical Education and Research,2021
1129,Shantou University,2021
1130,Ural Federal University,2021
1131,Shanghai University of Finance and Economics,2021
1132,Metropolitan Autonomous University,2021
1133,San Francisco State University,2021
1134,Federal University of São João del-Rei,2021
1135,Wright State University,2021
1136,Marquette University,2021
1137,New York Medical College,2021
1138,University of Silesia in Katowice,2021
1139,Aligarh Muslim University,2021
1140,National Defense Medical Center,2021
1141,Mie University,2021
1142,Dokuz Eylül University,2021
1143,University of Sfax,2021
1144,Yamaguchi University,2021
1145,İzmir Institute of Technology,2021
1146,École centrale de Lyon,2021
1147,Jiangsu Normal University,2021
1148,Hofstra University,2021
1149,Howard University,2021
1150,Addis Ababa University,2021
1151,Bowdoin College,2021
1152,Pukyong National University,2021
1153,United States Military Academy,2021
1154,Luleå University of Technology,2021
1155,Stevens Institute of Technology,2021
1156,Ibero-American University,2021
1157,Chung Shan Medical University,2021
1158,Jacobs University,2021
1159,Magna Graecia University of Catanzaro,2021
1160,Koç University,2021
1161,University of Las Palmas de Gran Canaria,2021
1162,West University of Timișoara,2021
1163,University of the Free State,2021
1164,Guizhou University,2021
1165,Osnabrück University,2021
1166,University of Yamanashi,2021
1167,University of Ibadan,2021
1168,Anna University,2021
1169,Santa Clara University,2021
1170,University of Missouri-St. Louis,2021
1171,Hebei University of Technology,2021
1172,Khon Kaen University,2021
1173,Maynooth University,2021
1174,Adıyaman University,2021
1175,University of Western Brittany,2021
1176,Sant'Anna School of Advanced Studies,2021
1177,Nippon Medical School,2021
1178,University of Dayton,2021
1179,"California Polytechnic State University, San Luis Obispo",2021
1180,Tokyo Medical University,2021
1181,TOBB University of Economics and Technology,2021
1182,Wilfrid Laurier University,2021
1183,Poznan University of Medical Sciences,2021
1184,Changzhou University,2021
1185,Prince of Songkla University,2021
1186,Nottingham Trent University,2021
1187,Northeast Forestry University,2021
1188,Tianjin University of Technology,2021
1189,Clark University,2021
1190,Assiut University,2021
1191,"Asia University, Taiwan",2021
1192,Oakland University,2021
1193,University of North Dakota,2021
1194,Indian Agricultural Research Institute,2021
1195,Kanazawa Institute of Technology,2021
1196,Erciyes University,2021
1197,Albany Medical College,2021
1198,Kafkas University,2021
1199,Federal University of Mato Grosso do Sul,2021
1200,Tomsk Polytechnic University,2021
1201,Menlo College,2021
1202,Nanjing University of Chinese Medicine,2021
1203,University of Alabama in Huntsville,2021
1204,Macau University of Science and Technology,2021
1205,Asian Institute of Management,2021
1206,Fu Jen Catholic University,2021
1207,University of Gdańsk,2021
1208,Jikei University,2021
1209,Suez Canal University,2021
1210,University of the Ryukyus,2021
1211,Yokohama National University,2021
1212,Federal University of Pará,2021
1213,Toulouse 1 Capitole University,2021
1214,University of Bradford,2021
1215,University of Picardie Jules Verne,2021
1216,"University of Puerto Rico, Medical Sciences Campus",2021
1217,Carol Davila University of Medicine and Pharmacy,2021
1218,Hebei University,2021
1219,Huaqiao University,2021
1220,Dong-A University,2021
1221,Monterrey Institute of Technology and Higher Education,2021
1222,Andrés Bello University,2021
1223,Brock University,2021
1224,Dalian Maritime University,2021
1225,"University of the West of England, Bristol",2021
1226,Catholic University of America,2021
1227,Conservatoire national des arts et métiers,2021
1228,Jiangxi Normal University,2021
1229,Nagasaki Institute of Applied Science,2021
1230,Federal University of Paraíba,2021
1231,Hunan Agricultural University,2021
1232,University of Lodz,2021
1233,Dalian Medical University,2021
1234,Northeast Agricultural University,2021
1235,Daegu Gyeongbuk Institute of Science and Technology,2021
1236,University of Hyderabad,2021
1237,Gran Sasso Science Institute,2021
1238,Süleyman Demirel University,2021
1239,University of Western Cape,2021
1240,Texas State University,2021
1241,Fujita Health University,2021
1242,Federal University of Espírito Santo,2021
1243,Saitama Medical University,2021
1244,University of Algarve,2021
1245,University of Southern Queensland,2021
1246,Chung Yuan Christian University,2021
1247,Saitama University,2021
1248,Boise State University,2021
1249,Henan University of Science and Technology,2021
1250,SOAS University of London,2021
1251,University of Namur,2021
1252,Kasetsart University,2021
1253,Kōchi University,2021
1254,United Arab Emirates University,2021
1255,University of the Punjab,2021
1256,Ca' Foscari University of Venice,2021
1257,Czech University of Life Sciences Prague,2021
1258,Austral University of Chile,2021
1259,Public University of Navarre,2021
1260,Qilu University of Technology,2021
1261,K. N. Toosi University of Technology,2021
1262,"École supérieure de chimie, physique, électronique de Lyon",2021
1263,Saga University,2021
1264,Wenzhou University,2021
1265,XLRI - Xavier School of Management,2021
1266,"Vietnam National University, Hanoi",2021
1267,Hirosaki University,2021
1268,University of Camerino,2021
1269,Guangxi Medical University,2021
1270,Federal University of Uberlândia,2021
1271,SUNY College of Environmental Science and Forestry,2021
1272,Bowling Green State University,2021
1273,Tottori University,2021
1274,Tuscia University,2021
1275,National Institute for Space Research (INPE),2021
1276,"Institute of Physics, Azerbaijan National Academy of Sciences",2021
1277,Chang'an University,2021
1278,Linnaeus University,2021
1279,National University of Distance Education,2021
1280,Lakehead University,2021
1281,Vellore Institute of Technology,2021
1282,Bournemouth University,2021
1283,Campus Bio-Medico University,2021
1284,University of Pau and Pays de l'Adour,2021
1285,Hyogo College of Medicine,2021
1286,State University of Maringá,2021
1287,University of Almería,2021
1288,Hebei Medical University,2021
1289,"California State University, Fullerton",2021
1290,Keimyung University,2021
1291,Hampton University,2021
1292,Xi'an University of Technology,2021
1293,ESSEC Business School,2021
1294,"California State University, Northridge",2021
1295,École des Hautes Études en Sciences Sociales,2021
1296,Medical University Sofia,2021
1297,Zagazig University,2021
1298,Brno University of Technology,2021
1299,Showa University,2021
1300,Fukuoka University,2021
1301,National Taiwan Ocean University,2021
1302,Heilongjiang University,2021
1303,Hiroshima Institute of Technology,2021
1304,Atatürk University,2021
1305,Shanghai University of Traditional Chinese Medicine,2021
1306,Trent University,2021
1307,Shenyang Pharmaceutical University,2021
1308,University of Foggia,2021
1309,University of Miyazaki,2021
1310,Chosun University,2021
1311,Babol Noshirvani University of Technology,2021
1312,Pavol Jozef Šafárik University in Košice,2021
1313,Rhodes University,2021
1314,Anhui Normal University,2021
1315,Fayoum University,2021
1316,Kurume University,2021
1317,Federal University of Lavras,2021
1318,Erzincan Binali Yıldırım University,2021
1319,National University of Science and Technology MISiS,2021
1320,Zhejiang A&F University,2021
1321,University of Yaoundé I,2021
1322,Warsaw University of Life Sciences,2021
1323,Autonomous University of Nuevo León,2021
1324,Wuhan University of Science and Technology,2021
1325,Gdańsk University of Technology,2021
1326,Soongsil University,2021
1327,University of León,2021
1328,Hainan University,2021
1329,University of Limoges,2021
1330,Mashhad University of Medical Sciences,2021
1331,National Kaohsiung University of Science and Technology,2021
1332,Kuwait University,2021
1333,National University of Rosario,2021
1334,University of Central Lancashire,2021
1335,National Chung Cheng University,2021
1336,National Chengchi University,2021
1337,Antonio Nariño University,2021
1338,Coventry University,2021
1339,Uludağ University,2021
1340,University of Agriculture Faisalabad,2021
1341,University of Ghana,2021
1342,Okinawa Institute of Science and Technology,2021
1343,Southern Cross University,2021
1344,University of Carthage,2021
1345,Isfahan University of Medical Sciences,2021
1346,Ontario Tech University,2021
1347,University of Malawi,2021
1348,Selçuk University,2021
1349,Oxford Brookes University,2021
1350,Kwansei Gakuin University,2021
1351,Jordan University of Science and Technology,2021
1352,Democritus University of Thrace,2021
1353,British University in Egypt,2021
1354,Skolkovo Institute of Science and Technology,2021
1355,Guangxi Normal University,2021
1356,University of Guadalajara,2021
1357,Lodz University of Technology,2021
1358,University of Toulouse-Jean Jaurès,2021
1359,University of Monastir,2021
1360,University of Stavanger,2021
1361,Southwest University of Science and Technology,2021
1362,San Jose State University,2021
1363,Singapore Management University,2021
1364,Western Michigan University,2021
1365,University of Greenwich,2021
1366,Changsha University of Science and Technology,2021
1367,University of South Alabama,2021
1368,Institute of Tropical Medicine Antwerp,2021
1369,Carleton College,2021
1370,Shimane University,2021
1371,CY Cergy Paris University,2021
1372,Istanbul University-Cerrahpaşa,2021
1373,"Indian Institute of Science Education and Research, Kolkata",2021
1374,University of the Aegean,2021
1375,Nagoya Institute of Technology,2021
1376,University of Perpignan,2021
1377,University of Costa Rica,2021
1378,Henan Polytechnic University,2021
1379,Bohai University,2021
1380,Sultan Qaboos University,2021
1381,Özyeğin University,2021
1382,"National Institute of Technology, Rourkela",2021
1383,Iran University of Medical Sciences,2021
1384,Southwest Petroleum University,2021
1385,University of Electro-Communications,2021
1386,"University of Santiago, Chile",2021
1387,Feng Chia University,2021
1388,Southwestern University of Finance and Economics,2021
1389,Savitribai Phule Pune University,2021
1390,University of Reims Champagne-Ardenne,2021
1391,École de technologie supérieure,2021
1392,Institute for Pure and Applied Mathematics (IMPA),2021
1393,Grinnell College,2021
1394,Williams College,2021
1395,Jeju National University,2021
1396,Royal Veterinary College,2021
1397,Manipal Academy of Higher Education,2021
1398,Silesian University of Technology,2021
1399,University of the Sunshine Coast,2021
1400,Taras Shevchenko National University of Kyiv,2021
1401,"California State University, Long Beach",2021
1402,China Jiliang University,2021
1403,University of Occupational and Environmental Health Japan,2021
1404,Cha University,2021
1405,University of Beira Interior,2021
1406,Wuhan Institute of Technology,2021
1407,Akdeniz University,2021
1408,Xuzhou Medical University,2021
1409,University of Isfahan,2021
1410,Clarkson University,2021
1411,Leuphana University of Lüneburg,2021
1412,Michoacán University of San Nicolás of Hidalgo,2021
1413,Fairfield University,2021
1414,Northwest Normal University,2021
1415,Xinjiang University,2021
1416,University of South Africa,2021
1417,Doshisha University,2021
1418,University of Lethbridge,2021
1419,Pontifical Catholic University of Rio Grande do Sul,2021
1420,University of South Dakota,2021
1421,University of Minnesota Duluth,2021
1422,University of Nairobi,2021
1423,Hanken School of Economics,2021
1424,State University of Londrina,2021
1425,University of Southern Mississippi,2021
1426,Tôn Đức Thắng University,2021
1427,Doğuş University,2021
1428,Liaocheng University,2021
1429,Baruch College,2021
1430,University of Jordan,2021
1431,Kagawa University,2021
1432,Tianjin University of Science and Technology,2021
1433,Jiangsu University of Science and Technology,2021
1434,V.A. Steklov Mathematical Institute of the Russian Academy of Sciences,2021
1435,Fukushima Medical University,2021
1436,Shiga University of Medical Science,2021
1437,Pontifical Catholic University of Valparaíso,2021
1438,University of South China,2021
1439,University of Huelva,2021
1440,King Saud bin Abdulaziz University for Health Sciences,2021
1441,Kwame Nkrumah University of Science and Technology,2021
1442,Karadeniz Technical University,2021
1443,Technical University of Ilmenau,2021
1444,Witten/Herdecke University,2021
1445,University of Évora,2021
1446,Tamkang University,2021
1447,Tallinn University of Technology,2021
1448,Kyoto University of Education,2021
1449,Ilia State University,2021
1450,Education University of Hong Kong,2021
1451,Texas Tech University Health Sciences Center,2021
1452,Alexandru Ioan Cuza University of Iaşi,2021
1453,Nova Southeastern University,2021
1454,University of Caen Normandy,2021
1455,University of San Francisco,2021
1456,National University of Sciences and Technology,2021
1457,Freiberg University of Mining and Technology,2021
1458,Henan Agricultural University,2021
1459,University of Salford,2021
1460,Guglielmo Marconi University,2021
1461,I-Shou University,2021
1462,Yuan Ze University,2021
1463,National University of Cuyo,2021
1464,Lincoln University,2021
1465,University of Trás-os-Montes and Alto Douro,2021
1466,University of Veterinary Medicine Hanover,2021
1467,University of La Frontera,2021
1468,Hamburg University of Technology,2021
1469,Sapporo Medical University,2021
1470,Ball State University,2021
1471,Anhui University of Technology,2021
1472,Ochanomizu University,2021
1473,Tanta University,2021
1474,Arts et Métiers Sciences et Technologies,2021
1475,South Central University for Nationalities,2021
1476,Central Michigan University,2021
1477,Anglia Ruskin University,2021
1478,University of Lincoln,2021
1479,Federal University of Technology - Paraná,2021
1480,Institute of Applied Physics of the Russian Academy of Sciences,2021
1481,Kookmin University,2021
1482,Duy Tân University,2021
1483,Illinois State University,2021
1484,Myongji University,2021
1485,Ibaraki University,2021
1486,École nationale vétérinaire d'Alfort,2021
1487,Shiraz University of Medical Sciences,2021
1488,Zhejiang Gongshang University,2021
1489,Iuliu Hațieganu University of Medicine and Pharmacy,2021
1490,National Institute of Amazonian Research (INPA),2021
1491,Texas Christian University,2021
1492,National University of the Littoral,2021
1493,University of Avignon,2021
1494,University of Tulsa,2021
1495,Fırat University,2021
1496,Maria Curie-Skłodowska University,2021
1497,Montclair State University,2021
1498,Incheon National University,2021
1499,Kyushu Institute of Technology,2021
1500,Pomeranian Medical University in Szczecin,2021
1501,Western Norway University of Applied Sciences,2021
1502,Istanbul Bilgi University,2021
1503,Hamamatsu University School of Medicine,2021
1504,Shanghai Ocean University,2021
1505,Chongqing University of Posts and Telecommunications,2021
1506,University of Guilan,2021
1507,DePaul University,2021
1508,University of Sannio,2021
1509,Hebei Normal University,2021
1510,Seoul National University of Science and Technology,2021
1511,Poznań University of Technology,2021
1512,"Queens College, City University of New York",2021
1513,Qingdao Agricultural University,2021
1514,Utah Valley University,2021
1515,Istanbul Aydın University,2021
1516,Eastern Virginia Medical School,2021
1517,Vienna University of Economics and Business,2021
1518,Cayetano Heredia Peruvian University,2021
1519,University of Huddersfield,2021
1520,"Indian Institute of Technology (Indian School of Mines), Dhanbad",2021
1521,Helwan University,2021
1522,Indian Institute of Technology Indore,2021
1523,Razi University,2021
1524,Guangzhou University of Chinese Medicine,2021
1525,Poznań University of Life Sciences,2021
1526,University of Rijeka,2021
1527,International Islamic University Malaysia,2021
1528,"Federal Institute of Education, Science and Technology of Rio Grande do Sul",2021
1529,Indian Institute of Technology (BHU) Varanasi,2021
1530,Tabriz University of Medical Sciences,2021
1531,Rikkyo University,2021
1532,Federal University of Sergipe,2021
1533,Wakayama Medical University,2021
1534,Sabancı University,2021
1535,Medical University of Lublin,2021
1536,University of Guanajuato,2021
1537,University of Latvia,2021
1538,Thapar Institute of Engineering and Technology,2021
1539,N.N. Semenov Institute of Chemical Physics of the Russian Academy of Sciences,2021
1540,Shaanxi University of Science and Technology,2021
1541,Middlesex University,2021
1542,Shihezi University,2021
1543,Lobachevsky University,2021
1544,Norwegian School of Sport Sciences,2021
1545,National University of Mar del Plata,2021
1546,Trinity University,2021
1547,Ohio Wesleyan University,2021
1548,Guilin University of Electronic Technology,2021
1549,Pontifical Catholic University of Rio de Janeiro,2021
1550,"Birla Institute of Technology and Science, Pilani",2021
1551,King Mongkut's University of Technology Thonburi,2021
1552,North China University of Science and Technology,2021
1553,Semnan University,2021
1554,Lanzhou University of Technology,2021
1555,De Montfort University,2021
1556,Shanxi Medical University,2021
1557,Cooper Union,2021
1558,"Indian Statistical Institute, Kolkata",2021
1559,Bu-Ali Sina University,2021
1560,Claremont Graduate University,2021
1561,University of Zambia,2021
1562,Cleveland State University,2021
1563,Shanghai Maritime University,2021
1564,Pontifical Javeriana University,2021
1565,Inner Mongolia University,2021
1566,MARA University of Technology,2021
1567,Slovak University of Technology in Bratislava,2021
1568,Tamil Nadu Dr. M.G.R. Medical University,2021
1569,Anhui Agricultural University,2021
1570,Sheffield Hallam University,2021
1571,China Three Gorges University,2021
1572,Yantai University,2021
1573,Tianjin Normal University,2021
1574,Pontifical Catholic University of Peru,2021
1575,Beni Suef University,2021
1576,University of Trier,2021
1577,Iwate Medical University,2021
1578,Al-Azhar University,2021
1579,Glasgow Caledonian University,2021
1580,University of Niš,2021
1581,Harokopio University,2021
1582,Indian Institute of Technology Hyderabad,2021
1583,Georgia Southern University,2021
1584,University Paris 1 Panthéon-Sorbonne,2021
1585,Liaoning University,2021
1586,Lithuanian University of Health Sciences,2021
1587,University of Fukui,2021
1588,Kongju National University,2021
1589,Kwangwoon University,2021
1590,National Dong Hwa University,2021
1591,Krasnoyarsk Science Center of the Siberian Branch of the Russian Academy of Sciences,2021
1592,Federal Rural University of Pernambuco,2021
1593,University of Massachusetts Dartmouth,2021
1594,University of Agder,2021
1595,Aichi Medical University,2021
1596,Shahid Bahonar University of Kerman,2021
1597,University of Valparaíso,2021
1598,Kunming Medical University,2021
1599,Brooklyn College,2021
1600,University of Peradeniya,2021
1601,Chengdu University of Technology,2021
1602,Polytechnic University of Cartagena,2021
1603,Iwate University,2021
1604,Indian Institute of Management Calcutta,2021
1605,University of Warmia and Mazury in Olsztyn,2021
1606,Shenyang Agricultural University,2021
1607,North University of China,2021
1608,Rowan University,2021
1609,Wonkwang University,2021
1610,Ariel University,2021
1611,Sechenov University,2021
1612,Harbin University of Science and Technology,2021
1613,Medical University of Białystok,2021
1614,"National Institute of Technology, Tiruchirappalli",2021
1615,University of North Carolina Wilmington,2021
1616,Gangneung-Wonju National University,2021
1617,Laurentian University,2021
1618,University of Indonesia,2021
1619,"Vietnam National University, Ho Chi Minh City",2021
1620,Mimar Sinan Fine Arts University,2021
1621,Nara Medical University,2021
1622,Polytechnic University of Hauts-de-France,2021
1623,Bharathiar University,2021
1624,Ondokuz Mayıs University,2021
1625,Space Research Institute of the Russian Academy of Sciences,2021
1626,Kocaeli University,2021
1627,Yangtze University,2021
1628,Western Washington University,2021
1629,"California State University, Los Angeles",2021
1630,University of La Rioja,2021
1631,Nelson Mandela University,2021
1632,Hunan University of Science and Technology,2021
1633,University of New Orleans,2021
1634,Beijing University of Chinese Medicine,2021
1635,Peoples' Friendship University of Russia,2021
1636,University of South Wales,2021
1637,Kingston University,2021
1638,Beaux-Arts de Paris,2021
1639,Grigore T. Popa University of Medicine and Pharmacy,2021
1640,National University of the South,2021
1641,Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences,2021
1642,University of Leoben,2021
1643,Tzu Chi University,2021
1644,Chapman University,2021
1645,University of Kashan,2021
1646,University of Molise,2021
1647,Catholic University of the North,2021
1648,College of Charleston,2021
1649,A.M. Prokhorov General Physics Institute of the Russian Academy of Sciences,2021
1650,Jackson State University,2021
1651,Southern Federal University,2021
1652,Open University of Catalonia,2021
1653,University of Kragujevac,2021
1654,Thammasat University,2021
1655,Kyorin University,2021
1656,Guangdong Medical University,2021
1657,Changchun University of Science and Technology,2021
1658,Payame Noor University,2021
1659,Shandong University of Technology,2021
1660,Estonian University of Life Sciences,2021
1661,Georgian Technical University,2021
1662,Agricultural University of Athens,2021
1663,ISCTE – University Institute of Lisbon,2021
1664,University of Québec at Trois-Rivières,2021
1665,Transilvania University of Brașov,2021
1666,Homi Bhabha National Institute,2021
1667,Xi'an University of Architecture and Technology,2021
1668,Yazd University,2021
1669,Central European University,2021
1670,Comillas Pontifical University,2021
1671,Anadolu University,2021
1672,James Madison University,2021
1673,Naval Postgraduate School,2021
1674,University of Westminster,2021
1675,University of Ruhuna,2021
1676,Akita University,2021
1677,Indian Institute of Technology Bhubaneswar,2021
1678,Institute for Nuclear Research of the National Academy of Sciences of Ukraine,2021
1679,Central Queensland University,2021
1680,"Institute of Physics, Polish Academy of Sciences",2021
1681,PLA University of Science and Technology,2021
1682,University of Jammu,2021
1683,Menoufia University,2021
1684,St. John's University,2021
1685,Zhejiang Chinese Medical University,2021
1686,AgroSup Dijon,2021
1687,Catholic University of Portugal,2021
1688,University of the West of Scotland,2021
1689,Marshall University,2021
1690,Federal University of Rio Grande,2021
1691,Pontifical Catholic University of Paraná,2021
1692,Beijing Technology and Business University,2021
1693,Japan Advanced Institute of Science and Technology,2021
1694,Appalachian State University,2021
1695,Oslo Metropolitan University,2021
1696,University of Malta,2021
1697,South Dakota School of Mines and Technology,2021
1698,University of Rajasthan,2021
1699,Amrita Vishwa Vidyapeetham,2021
1700,"University of San Francisco, Quito",2021
1701,G.K. Boreskov Institute of Catalysis of the Siberian Branch of the Russian Academy of Sciences,2021
1702,University of Arkansas at Little Rock,2021
1703,BI Norwegian Business School,2021
1704,Nanchang Hangkong University,2021
1705,Hongik University,2021
1706,Urmia University,2021
1707,University of Gondar,2021
1708,Saint Mary's University,2021
1709,Henan University of Technology,2021
1710,Jamia Millia Islamia,2021
1711,University of Cassino and Southern Lazio,2021
1712,Idaho State University,2021
1713,Technical University of Crete,2021
1714,Dongguan University of Technology,2021
1715,New Mexico Institute of Mining and Technology,2021
1716,V.M. Glushkov Institute of Cybernetics of the National Academy of Sciences of Ukraine,2021
1717,Roskilde University,2021
1718,Union College,2021
1719,Shanghai University of Electric Power,2021
1720,St. Marianna University School of Medicine,2021
1721,Washington and Lee University,2021
1722,Eskişehir Osmangazi University,2021
1723,Sookmyung Women's University,2021
1724,Mendel University in Brno,2021
1725,"California State University, Sacramento",2021
1726,Architectural Association School of Architecture,2021
1727,University of Shizuoka,2021
1728,University of Koblenz-Landau,2021
1729,"University of Puerto Rico, Río Piedras Campus",2021
1730,Cyprus University of Technology,2021
1731,University of South-Eastern Norway,2021
1732,IFP School,2021
1733,Eulji University,2021
1734,University of the Philippines Manila,2021
1735,Federation University Australia,2021
1736,N.N. Bogolyubov Institute for Theoretical Physics of the National Academy of Sciences of Ukraine,2021
1737,Diego Portales University,2021
1738,Free University of Bozen-Bolzano,2021
1739,University of La Rochelle,2021
1740,Kütahya Dumlupınar University,2021
1741,Kyoto Institute of Technology,2021
1742,Federal University of Mato Grosso,2021
1743,Oita University,2021
1744,Hamilton College,2021
1745,University of Zimbabwe,2021
1746,Zhengzhou University of Light Industry,2021
1747,Suranaree University of Technology,2021
1748,Kansai Medical University,2021
1749,Mae Fah Luang University,2021
1750,University of Technology of Belfort-Montbéliard,2021
1751,Hankuk University of Foreign Studies,2021
1752,Dokkyo Medical University,2021
1753,A.N. Nesmeyanov Institute of Organoelement Compounds of the Russian Academy of Sciences,2021
1754,Yunnan Normal University,2021
1755,University of Technology of Compiègne,2021
1756,Düsseldorf Art Academy,2021
1757,University of Sharjah,2021
1758,Moscow Conservatory,2021
1759,A.A. Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences,2021
1760,Humanitas University,2021
1761,Kanagawa University,2021
1762,East Tennessee State University,2021
1763,University of Notre Dame Australia,2021
1764,Ludong University,2021
1765,China West Normal University,2021
1766,Hebei Agricultural University,2021
1767,Sanjay Gandhi Postgraduate Institute of Medical Sciences,2021
1768,Institut supérieur de l'aéronautique et de l'espace,2021
1769,Bahçeşehir University,2021
1770,Central University of Venezuela,2021
1771,Zhongnan University of Economics and Law,2021
1772,Technological Institute of Aeronautics,2021
1773,European University Institute,2021
1774,Catholic University of Daegu,2021
1775,Shanghai Institute of Technology,2021
1776,Meiji University,2021
1777,Guru Nanak Dev University,2021
1778,Towson University,2021
1779,National United University,2021
1780,Kennesaw State University,2021
1781,Mid Sweden University,2021
1782,Manisa Celal Bayar University,2021
