rank,school,year
230,University of Turin,2021
231,Tianjin University,2021
232,London School of Hygiene & Tropical Medicine,2021
233,Charles University in Prague,2021
234,Karlsruhe Institute of Technology,2021
235,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,2021
236,University of Cincinnati,2021
237,Wake Forest University,2021
238,University of Naples Federico II,2021
239,Paul Sabatier University,2021
240,Sichuan University,2021
241,University of Sussex,2021
242,"University of California, Riverside",2021
243,University of Bordeaux,2021
244,University of Texas Health Science Center at Houston,2021
245,University of Leicester,2021
246,University of Reading,2021
247,Complutense University of Madrid,2021
248,Jilin University,2021
249,Nankai University,2021
250,Maastricht University,2021
251,"University of Tennessee, Knoxville",2021
252,HEC Paris,2021
253,South China University of Technology,2021
254,Virginia Commonwealth University,2021
255,Colorado State University,2021
256,Tongji University,2021
257,University of Houston,2021
258,University of Florence,2021
259,Delft University of Technology,2021
260,Southeast University,2021
261,University of Tsukuba,2021
262,University of Auckland,2021
263,University of Exeter,2021
264,National and Kapodistrian University of Athens,2021
265,University of Pisa,2021
266,City University of Hong Kong,2021
267,Hong Kong Polytechnic University,2021
268,Oregon Health & Science University,2021
269,University of Cape Town,2021
270,Oregon State University,2021
271,Virginia Tech,2021
272,University of East Anglia,2021
273,Central South University,2021
274,University of Manitoba,2021
275,Florida State University,2021
276,University of Bergen,2021
277,"Soochow University, China",2021
278,King Abdulaziz University,2021
279,Leipzig University,2021
280,University of Aberdeen,2021
281,University of Genoa,2021
282,Autonomous University of Madrid,2021
283,University of Massachusetts Medical School,2021
284,"University of California, Santa Cruz",2021
285,University of Lorraine,2021
286,"University of Maryland, Baltimore",2021
287,National Autonomous University of Mexico,2021
288,University of Valencia,2021
289,University College Dublin,2021
290,University of Antwerp,2021
291,University of Liège,2021
292,University of the Witwatersrand,2021
293,University at Buffalo,2021
294,Laval University,2021
295,Medical University of Vienna,2021
296,Beihang University,2021
297,University of South Florida,2021
298,Wayne State University,2021
299,University of Delaware,2021
300,University of Pavia,2021
301,University of Kentucky,2021
302,Louisiana State University,2021
303,Dalian University of Technology,2021
304,King Abdullah University of Science and Technology,2021
305,University of New Mexico,2021
306,University of Nebraska–Lincoln,2021
307,Washington State University,2021
308,China Europe International Business School,2021
309,George Washington University,2021
310,University of Lille,2021
311,University of Rome Tor Vergata,2021
312,Ruhr University Bochum,2021
313,University of Duisburg-Essen,2021
314,Southern Methodist University,2021
315,Queen's University,2021
316,Hanyang University,2021
317,University of Porto,2021
318,Ulm University,2021
319,Chinese Academy of Medical Sciences & Peking Union Medical College,2021
320,Northeastern University,2021
321,University of York,2021
322,Friedrich Schiller University Jena,2021
323,Durham University,2021
324,Umeå University,2021
325,Beijing Normal University,2021
326,University of Granada,2021
327,University of South Carolina - Columbia,2021
328,London School of Economics and Political Science,2021
329,Polytechnic University of Milan,2021
330,Dalhousie University,2021
331,National Cheng Kung University,2021
332,University of Düsseldorf,2021
333,Eindhoven University of Technology,2021
334,Hunan University,2021
335,Aalto University,2021
336,Versailles Saint-Quentin-en-Yvelines University,2021
337,Hannover Medical School,2021
338,International Institute for Management Development,2021
339,Simon Fraser University,2021
340,Beijing Institute of Technology,2021
341,University of Dundee,2021
342,University of St Andrews,2021
343,University of the Basque Country,2021
344,University of Milano-Bicocca,2021
345,Lancaster University,2021
346,University of Electronic Science and Technology of China,2021
347,University of Campinas,2021
348,University of Belgrade,2021
349,École des ponts ParisTech,2021
350,City College of New York,2021
351,University of Otago,2021
352,Temple University,2021
353,Albert Einstein College of Medicine,2021
354,Aalborg University,2021
355,Ben-Gurion University of the Negev,2021
356,University of Buenos Aires,2021
357,Queen's University Belfast,2021
358,Vrije Universiteit Brussel,2021
359,Drexel University,2021
360,Federal University of Rio de Janeiro,2021
361,University of Southern Denmark,2021
362,Linköping University,2021
363,Curtin University,2021
364,University of Marburg,2021
365,University of Parma,2021
366,Lanzhou University,2021
367,China Agricultural University,2021
368,Pohang University of Science and Technology,2021
369,National Research Center «Kurchatov Institute»,2021
370,Technical University of Berlin,2021
371,King Saud University,2021
372,Islamic Azad University,2021
373,Justus Liebig University Giessen,2021
374,University of Ljubljana,2021
375,University of Innsbruck,2021
376,Jagiellonian University,2021
377,Pontifical Catholic University of Chile,2021
378,University of Oregon,2021
379,University of Technology Sydney,2021
380,Macquarie University,2021
381,University of Turku,2021
382,National Tsing Hua University,2021
383,Medical University of South Carolina,2021
384,East China Normal University,2021
385,University of Victoria,2021
386,Chongqing University,2021
387,University of Perugia,2021
388,Deakin University,2021
389,University of Regensburg,2021
390,Griffith University,2021
391,Kyung Hee University,2021
392,"University of Oklahoma, Norman",2021
393,East China University of Science and Technology,2021
394,University of Warsaw,2021
395,Pompeu Fabra University,2021
396,University of Wollongong,2021
397,University of Malaya,2021
398,University of Newcastle,2021
399,University of Texas at Dallas,2021
400,Chalmers University of Technology,2021
401,Queensland University of Technology,2021
402,Kyungpook National University,2021
403,"University at Albany, SUNY",2021
404,Swedish University of Agricultural Sciences,2021
405,University of Seville,2021
406,Vienna University of Technology,2021
407,University of Coimbra,2021
408,University of Bari,2021
409,Aristotle University of Thessaloniki,2021
410,University of Science and Technology Beijing,2021
411,University of Twente,2021
412,Amherst College,2021
413,Northwestern Polytechnical University,2021
414,University of Saskatchewan,2021
415,Indian Institute of Management Ahmedabad,2021
416,University of Tasmania,2021
417,University of Côte d'Azur,2021
418,Tampere University,2021
419,University of Ulsan,2021
420,Indiana University – Purdue University Indianapolis,2021
421,São Paulo State University,2021
422,Zhengzhou University,2021
423,Texas Tech University,2021
424,Hiroshima University,2021
425,Thomas Jefferson University,2021
426,Capital Medical University,2021
427,York University,2021
428,China University of Geosciences,2021
429,Kansas State University,2021
430,Chonnam National University,2021
431,University of Stuttgart,2021
432,Stockholm School of Economics,2021
433,Catholic University of the Sacred Heart,2021
434,University of Mississippi,2021
435,Stellenbosch University,2021
436,University of Chile,2021
437,University of Trieste,2021
438,Okayama University,2021
439,University of Clermont Auvergne,2021
440,Kobe University,2021
441,Tulane University,2021
442,Shenzhen University,2021
443,Saint Louis University,2021
444,University of Bath,2021
445,University of Texas Health Science Center at San Antonio,2021
446,University of Oulu,2021
447,Vita-Salute San Raffaele University,2021
448,University of Navarra,2021
449,Pusan National University,2021
450,University of Trento,2021
451,Medical College of Wisconsin,2021
452,University of Eastern Finland,2021
453,University of Zaragoza,2021
454,Martin Luther University Halle-Wittenberg,2021
455,National Chiao Tung University,2021
456,University of Catania,2021
457,University of Colorado Denver,2021
458,University of Vermont,2021
459,Indian Institute of Science,2021
460,University of Guelph,2021
461,University of Alabama - Tuscaloosa,2021
462,Syracuse University,2021
463,University of Central Florida,2021
464,Polytechnic University of Catalonia,2021
465,University of Louisville,2021
466,Shanghai University,2021
467,University of Santiago de Compostela,2021
468,University of Siena,2021
469,Florida International University,2021
470,Nanjing Agricultural University,2021
471,Nanjing University of Aeronautics and Astronautics,2021
472,Nanjing University of Science and Technology,2021
473,George Mason University,2021
474,Federal University of Rio Grande do Sul,2021
475,University of Strathclyde,2021
476,Scuola Normale Superiore di Pisa,2021
477,Technical University of Darmstadt,2021
478,Joint Institute for Nuclear Research,2021
479,University of Rostock,2021
480,Beijing University of Chemical Technology,2021
481,École normale supérieure de Lyon,2021
482,James Cook University,2021
483,University of KwaZulu-Natal,2021
484,Chulalongkorn University,2021
485,Oklahoma State University,2021
486,University of Oviedo,2021
487,Ioffe Physical-Technical Institute of the Russian Academy of Sciences,2021
488,Polytechnic University of Valencia,2021
489,Rovira i Virgili University,2021
490,Leibniz University Hannover,2021
491,Huazhong Agricultural University,2021
492,Xidian University,2021
493,West Virginia University,2021
494,Nanjing Medical University,2021
495,Baylor University,2021
496,Savoie Mont Blanc University,2021
497,Technical University of Dortmund,2021
498,Lehigh University,2021
499,University of Hawaii at Manoa,2021
500,La Trobe University,2021
501,University of Ferrara,2021
502,Rush University,2021
503,Federal University of Minas Gerais,2021
504,University of Tennessee Health Science Center,2021
505,Swarthmore College,2021
506,Novosibirsk State University,2021
507,Boston College,2021
508,University of Modena and Reggio Emilia,2021
509,Western Sydney University,2021
510,University of Surrey,2021
511,University of Hull,2021
512,University of Tromsø – The Arctic University of Norway,2021
513,Northwest A&F University,2021
514,NOVA University of Lisbon,2021
515,"Royal Holloway, University of London",2021
516,University of Canterbury,2021
517,University College Cork,2021
518,Wuhan University of Technology,2021
519,University of Potsdam,2021
520,University of Tehran,2021
521,University of Tartu,2021
522,National Yang-Ming University,2021
523,University of South Australia,2021
524,RMIT University,2021
525,University of Zagreb,2021
526,Colorado School of Mines,2021
527,Bar-Ilan University,2021
528,Ulsan National Institute of Science and Technology,2021
529,University of Bremen,2021
530,Georgia State University,2021
531,USI - University of Italian Speaking Switzerland,2021
532,University of Verona,2021
533,University of Rennes 1,2021
534,Carleton University,2021
535,Polytechnic University of Madrid,2021
536,University of Konstanz,2021
537,Hitotsubashi University,2021
538,Saint Petersburg University,2021
539,"Northeastern University, China",2021
540,University of Arkansas - Fayetteville,2021
541,Rensselaer Polytechnic Institute,2021
542,Moscow Institute of Physics and Technology,2021
543,Tata Institute of Fundamental Research,2021
544,University of Nantes,2021
545,Medical University of Innsbruck,2021
546,Cairo University,2021
547,Ewha Womans University,2021
548,National Technical University of Athens,2021
549,Mahidol University,2021
550,Chiba University,2021
551,Fuzhou University,2021
552,"China Medical University, Taiwan",2021
553,Jinan University,2021
