排名,学校,毕业后五年月薪
193,开封大学,7149
194,青岛酒店管理职业技术学院,7146
195,潮汕职业技术学院,7144
196,安庆职业技术学院,7142
197,浙江艺术职业学院,7141
198,赣西科技职业学院,7139
199,浙江工商职业技术学院,7134
200,成都航空职业技术学院,7133
201,黎明职业大学,7122
202,安徽医学高等专科学校,7119
203,上海思博职业技术学院,7111
204,江西生物科技职业学院,7108
205,江西工业职业技术学院,7106
206,黑龙江职业学院,7102
207,苏州托普信息职业技术学院,7100
208,广东工程职业技术学院,7098
209,阜阳科技职业学院,7096
210,保险职业学院,7088
211,湖南网络工程职业学院,7086
212,安徽机电职业技术学院,7084
213,石家庄经济职业学院,7080
214,湘西民族职业技术学院,7077
215,武汉商贸职业学院,7071
216,厦门软件职业技术学院,7071
217,北京社会管理职业学院,7071
218,焦作大学,7066
219,绍兴职业技术学院,7065
220,黑龙江护理高等专科学校,7065
221,武汉软件工程职业学院,7063
222,保定职业技术学院,7060
223,南京旅游职业学院,7060
224,黄冈职业技术学院,7055
225,天津公安警官职业学院,7055
226,岳阳职业技术学院,7055
227,石家庄工商职业学院,7051
228,顺德职业技术学院,7047
229,中山职业技术学院,7044
230,闽西职业技术学院,7041
231,北京农业职业学院,7036
232,湖北国土资源职业学院,7036
233,天津工程职业技术学院,7033
234,潇湘职业学院,7030
235,安徽财贸职业学院,7030
236,淮南联合大学,7030
237,义乌工商职业技术学院,7027
238,武汉职业技术学院,7025
239,贵州航天职业技术学院,7024
240,四川信息职业技术学院,7019
241,汕头职业技术学院,7016
242,咸宁职业技术学院,7016
243,武汉工贸职业学院,7015
244,邢台医学高等专科学校,7014
245,黑龙江农业职业技术学院,7014
246,广州华立科技职业学院,7014
247,甘肃建筑职业技术学院,7013
248,厦门海洋职业技术学院,7012
249,昆明艺术职业学院,7010
250,荆州职业技术学院,7008
251,宣城职业技术学院,7006
252,安徽电子信息职业技术学院,7002
253,江苏卫生健康职业学院,7002
254,天津医学高等专科学校,6998
255,昌吉职业技术学院,6998
256,徐州工业职业技术学院,6998
257,大庆医学高等专科学校,6997
258,石家庄职业技术学院,6992
259,武汉工业职业技术学院,6992
260,湖南工程职业技术学院,6991
261,抚州职业技术学院,6987
262,黑龙江林业职业技术学院,6978
263,广东食品药品职业学院,6977
264,安徽职业技术学院,6974
265,浙江长征职业技术学院,6972
266,重庆工程职业技术学院,6970
267,牡丹江大学,6965
268,湖北职业技术学院,6964
269,上饶职业技术学院,6963
270,兰州石化职业技术学院,6960
271,河南工业职业技术学院,6958
272,南京工业职业技术学院,6955
273,四川机电职业技术学院,6953
274,河北旅游职业学院,6952
275,武汉城市职业学院,6952
276,鄂东职业技术学院,6951
277,永州职业技术学院,6946
278,湖南司法警官职业学院,6940
279,安徽商贸职业技术学院,6939
280,伊春职业学院,6937
281,邯郸职业技术学院,6935
282,北海职业学院,6935
283,安徽交通职业技术学院,6933
284,赤峰职业技术学院,6932
285,四川交通职业技术学院,6929
286,怀化职业技术学院,6928
287,贵州城市职业学院,6927
288,六安职业技术学院,6927
289,山东传媒职业学院,6927
290,山东医学高等专科学校,6925
291,益阳职业技术学院,6922
292,湖南化工职业技术学院,6922
293,广东农工商职业技术学院,6922
294,三亚航空旅游职业学院,6921
295,广东文理职业学院,6917
296,江西工程职业学院,6915
297,永城职业学院,6915
298,泉州华光职业学院,6915
299,西安铁路工程职工大学,6913
300,湖南生物机电职业技术学院,6910
301,茂名职业技术学院,6909
302,黄冈科技职业学院,6903
303,江西应用工程职业学院,6903
304,长沙电力职业技术学院,6902
305,内蒙古机电职业技术学院,6899
306,黄河水利职业技术学院,6898
307,昆明冶金高等专科学校,6898
308,宁夏工业职业学院,6897
309,湖南现代物流职业技术学院,6897
310,海南经贸职业技术学院,6896
311,荆州理工职业学院,6896
312,湖南九嶷职业技术学院,6896
313,湖北轻工职业技术学院,6896
314,郴州职业技术学院,6895
315,安徽中澳科技职业学院,6894
316,安徽工商职业学院,6893
317,江西司法警官职业学院,6892
318,广州南洋理工职业学院,6888
319,河北机电职业技术学院,6885
320,湖北工业职业技术学院,6879
321,北京艺术传媒职业学院,6875
322,河南交通职业技术学院,6875
323,安徽广播影视职业技术学院,6874
324,四川航天职业技术学院,6867
325,广州城市职业学院,6866
326,漳州职业技术学院,6866
327,兴安职业技术学院,6865
328,江西财经职业学院,6864
329,重庆海联职业技术学院,6863
330,广州铁路职业技术学院,6863
331,陕西铁路工程职业技术学院,6862
332,湖南外国语职业学院,6858
333,安徽工业职业技术学院,6849
334,上海工会管理职业学院,6844
335,南昌教育学院,6842
336,山东理工职业学院,6839
337,乌海职业技术学院,6838
338,四川华新现代职业学院,6836
339,衡水职业技术学院,6836
340,安徽经济管理干部学院,6835
341,金肯职业技术学院,6835
342,广东行政职业学院,6834
343,湖南都市职业学院,6833
344,武汉电力职业技术学院,6831
345,浙江旅游职业学院,6831
346,浙江工业职业技术学院,6831
347,常州机电职业技术学院,6828
348,陕西邮电职业技术学院,6825
349,新疆农业职业技术学院,6824
350,长江职业学院,6823
351,广东亚视演艺职业学院,6821
352,石家庄科技信息职业学院,6821
353,新疆职业大学,6810
354,安徽城市管理职业学院,6803
355,南京信息职业技术学院,6802
356,郑州电力高等专科学校,6801
357,四川中医药高等专科学校,6795
358,重庆三峡职业学院,6794
359,山西建筑职业技术学院,6794
360,福州软件职业技术学院,6791
361,揭阳职业技术学院,6790
362,克拉玛依职业技术学院,6789
363,肇庆医学高等专科学校,6788
364,北京政法职业学院,6785
365,南京机电职业技术学院,6785
366,安徽工贸职业技术学院,6785
367,吉林省教育学院,6785
368,湖南理工职业技术学院,6785
369,常州工业职业技术学院,6784
370,白城职业技术学院,6783
371,合肥通用职业技术学院,6782
372,苏州工业园区职业技术学院,6772
373,安庆医药高等专科学校,6772
374,河北能源职业技术学院,6770
375,南京交通职业技术学院,6770
376,三峡旅游职业技术学院,6770
377,渤海石油职业学院,6769
378,福州黎明职业技术学院,6768
379,无锡工艺职业技术学院,6767
380,石家庄铁路职业技术学院,6767
381,成都纺织高等专科学校,6767
382,山西电力职业技术学院,6767
